pop	population	reg	region	regcolor	lat	lng	dataset
EskimoNaukanSGDP	Eskimo Naukan in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	66.02	169.71	sgdp
EskimoSirenikiSGDP	Eskimo Sireniki in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	64.4	173.9	sgdp
AltaianSGDP	Altaian in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	51.9	86	sgdp
TlingitSGDP	Tlingit in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	54.09	162.325	sgdp
MongolaSGDP	Mongola in China (SGDP)	CAS	Central Asia and Siberia	#01daa0	45	111	sgdp
YakutSGDP	Yakut in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	63	129.5	sgdp
EskimoChaplinSGDP	Eskimo Chaplin in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	64.48	172.86	sgdp
AleutSGDP	Aleut in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	55.18	166	sgdp
TubalarSGDP	Tubalar in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	51.133333	87	sgdp
ItelmanSGDP	Itelman in Russia (SGDP)	CAS	Central Asia and Siberia	#01daa0	57	157	sgdp
ThaiSGDP	Thai in Thailand (SGDP)	EAS	East Asia	#778500	13.8	100.5	sgdp
UygurSGDP	Uygur in China (SGDP)	EAS	East Asia	#778500	44	81	sgdp
YiSGDP	Yi in China (SGDP)	EAS	East Asia	#778500	28	103	sgdp
DaiSGDP	Dai in China (SGDP)	EAS	East Asia	#778500	21	100	sgdp
BurmeseSGDP	Burmese in Myanmar (SGDP)	EAS	East Asia	#778500	17	96.7	sgdp
CambodianSGDP	Cambodian in Cambodia (SGDP)	EAS	East Asia	#778500	12	105	sgdp
JapaneseSGDP	Japanese in Japan (SGDP)	EAS	East Asia	#778500	38	138	sgdp
MiaoSGDP	Miao in China (SGDP)	EAS	East Asia	#778500	28	109	sgdp
HanSGDP	Han in China (SGDP)	EAS	East Asia	#778500	32.288556	114	sgdp
AmiSGDP	Ami in Taiwan (SGDP)	EAS	East Asia	#778500	22.843145	121.185356	sgdp
HezhenSGDP	Hezhen in China (SGDP)	EAS	East Asia	#778500	47.5	133.5	sgdp
TuSGDP	Tu in China (SGDP)	EAS	East Asia	#778500	36	101	sgdp
DaurSGDP	Daur in China (SGDP)	EAS	East Asia	#778500	48.5	124	sgdp
KoreanSGDP	Korean in Korea (SGDP)	EAS	East Asia	#778500	37.6	127	sgdp
XiboSGDP	Xibo in China (SGDP)	EAS	East Asia	#778500	43.5	81.5	sgdp
TujiaSGDP	Tujia in China (SGDP)	EAS	East Asia	#778500	29	109	sgdp
SheSGDP	She in China (SGDP)	EAS	East Asia	#778500	27	119	sgdp
LahuSGDP	Lahu in China (SGDP)	EAS	East Asia	#778500	22	100	sgdp
AtayalSGDP	Atayal in Taiwan (SGDP)	EAS	East Asia	#778500	24.611712	121.296444	sgdp
NaxiSGDP	Naxi in China (SGDP)	EAS	East Asia	#778500	26	100	sgdp
OroqenSGDP	Oroqen in China (SGDP)	EAS	East Asia	#778500	50.4	126.5	sgdp
KinhSGDP	Kinh in Vietnam (SGDP)	EAS	East Asia	#778500	21	105.9	sgdp
HawaiianSGDP	Hawaiian in USA (SGDP)	OCE	Oceania	#001991	21.3	-157.8	sgdp
MaoriSGDP	Maori in New Zealand (SGDP)	OCE	Oceania	#001991	-41.3	174.5	sgdp
IgorotSGDP	Igorot in Philippines (SGDP)	OCE	Oceania	#001991	17.1	121	sgdp
AustralianSGDP	Australian in Australia (SGDP)	OCE	Oceania	#001991	-13	143	sgdp
BougainvilleSGDP	Bougainville in Papua New Guinea (SGDP)	OCE	Oceania	#001991	-6	155	sgdp
PapuanSGDP	Papuan in Papua New Guinea (SGDP)	OCE	Oceania	#001991	-4	143	sgdp
DusunSGDP	Dusun in Brunei (SGDP)	OCE	Oceania	#001991	4.7	114.7	sgdp
BengaliSGDP	Bengali in Bangladesh (SGDP)	SAS	South Asia	#c44cfd	23.7	90.4	sgdp
HazaraSGDP	Hazara in Pakistan (SGDP)	SAS	South Asia	#c44cfd	33.5	70	sgdp
KapuSGDP	Kapu in India (SGDP)	SAS	South Asia	#c44cfd	17.7	83.3	sgdp
PunjabiSGDP	Punjabi in Pakistan (SGDP)	SAS	South Asia	#c44cfd	31.5	74.3	sgdp
BrahuiSGDP	Brahui in Pakistan (SGDP)	SAS	South Asia	#c44cfd	30.5	66.5	sgdp
YadavaSGDP	Yadava in India (SGDP)	SAS	South Asia	#c44cfd	17.7	83.3	sgdp
BrahminSGDP	Brahmin in India (SGDP)	SAS	South Asia	#c44cfd	17.7	83.3	sgdp
KusundaSGDP	Kusunda in Nepal (SGDP)	SAS	South Asia	#c44cfd	28.072453	83.373633	sgdp
PathanSGDP	Pathan in Pakistan (SGDP)	SAS	South Asia	#c44cfd	33.5	70.5	sgdp
MadigaSGDP	Madiga in India (SGDP)	SAS	South Asia	#c44cfd	17.7	83.3	sgdp
KalashSGDP	Kalash in Pakistan (SGDP)	SAS	South Asia	#c44cfd	36	71.5	sgdp
BalochiSGDP	Balochi in Pakistan (SGDP)	SAS	South Asia	#c44cfd	30.5	66.5	sgdp
KhondaDoraSGDP	Khonda Dora in India (SGDP)	SAS	South Asia	#c44cfd	18.3	82.9	sgdp
IrulaSGDP	Irula in India (SGDP)	SAS	South Asia	#c44cfd	13.5	80	sgdp
RelliSGDP	Relli in India (SGDP)	SAS	South Asia	#c44cfd	17.7	83.3	sgdp
BurushoSGDP	Burusho in Pakistan (SGDP)	SAS	South Asia	#c44cfd	36.5	74	sgdp
MakraniSGDP	Makrani in Pakistan (SGDP)	SAS	South Asia	#c44cfd	26	64	sgdp
SindhiSGDP	Sindhi in Pakistan (SGDP)	SAS	South Asia	#c44cfd	25.5	69	sgdp
TurkishSGDP	Turkish in Turkey (SGDP)	WEU	West Eurasia	#001f54	38.7	35.5	sgdp
ArmenianSGDP	Armenian in Armenia (SGDP)	WEU	West Eurasia	#001f54	40.2	44.5	sgdp
RussianSGDP	Russian in Russia (SGDP)	WEU	West Eurasia	#001f54	61	40	sgdp
GreekSGDP	Greek in Greece (SGDP)	WEU	West Eurasia	#001f54	38	23.7	sgdp
BedouinBSGDP	Bedouin B in Israel(Negev) (SGDP)	WEU	West Eurasia	#001f54	31	35	sgdp
AbkhasianSGDP	Abkhasian in Abkhazia or Russia (SGDP)	WEU	West Eurasia	#001f54	43	41	sgdp
BulgarianSGDP	Bulgarian in Bulgaria (SGDP)	WEU	West Eurasia	#001f54	42.2	24.7	sgdp
HungarianSGDP	Hungarian in Hungary (SGDP)	WEU	West Eurasia	#001f54	47.5	19.1	sgdp
FinnishSGDP	Finnish in Finland (SGDP)	WEU	West Eurasia	#001f54	60.2	24.9	sgdp
OrcadianSGDP	Orcadian in Orkney Islands (SGDP)	WEU	West Eurasia	#001f54	59	-3	sgdp
IraqiJewSGDP	Iraqi Jew in Iraq (SGDP)	WEU	West Eurasia	#001f54	33.3	44.4	sgdp
DruzeSGDP	Druze in Israel(Carmel) (SGDP)	WEU	West Eurasia	#001f54	32	35	sgdp
NorwegianSGDP	Norwegian in Norway (SGDP)	WEU	West Eurasia	#001f54	60.3943	5.3258	sgdp
AlbanianSGDP	Albanian in Albania (SGDP)	WEU	West Eurasia	#001f54	41.3	19.8	sgdp
