id	sex	population	region	dataset
HG03491	F	PJL	SAS	KGP
HG03492	M	PJL	SAS	KGP
HG03499	F	ESN	AFR	KGP
HG03511	F	ESN	AFR	KGP
HG03514	F	ESN	AFR	KGP
HG03515	M	ESN	AFR	KGP
HG03516	F	ESN	AFR	KGP
HG03517	F	ESN	AFR	KGP
HG03518	M	ESN	AFR	KGP
HG03519	M	ESN	AFR	KGP
HG03520	F	ESN	AFR	KGP
HG03521	M	ESN	AFR	KGP
HG03522	F	ESN	AFR	KGP
HG03538	M	GWD	AFR	KGP
HG03539	F	GWD	AFR	KGP
HG03540	F	GWD	AFR	KGP
HG03547	M	MSL	AFR	KGP
HG03548	F	MSL	AFR	KGP
HG03556	M	MSL	AFR	KGP
HG03557	F	MSL	AFR	KGP
HG03558	F	MSL	AFR	KGP
HG03559	M	MSL	AFR	KGP
HG03563	F	MSL	AFR	KGP
HG03565	M	MSL	AFR	KGP
HG03567	F	MSL	AFR	KGP
HG03571	M	MSL	AFR	KGP
HG03572	F	MSL	AFR	KGP
HG03574	M	MSL	AFR	KGP
HG03575	F	MSL	AFR	KGP
HG03576	F	MSL	AFR	KGP
HG03577	M	MSL	AFR	KGP
HG03578	F	MSL	AFR	KGP
HG03579	M	MSL	AFR	KGP
HG03582	M	MSL	AFR	KGP
HG03583	F	MSL	AFR	KGP
HG03584	F	MSL	AFR	KGP
HG03585	M	BEB	SAS	KGP
HG03589	F	BEB	SAS	KGP
HG03593	M	BEB	SAS	KGP
HG03594	M	BEB	SAS	KGP
HG03595	F	BEB	SAS	KGP
HG03596	M	BEB	SAS	KGP
HG03598	F	BEB	SAS	KGP
HG03600	M	BEB	SAS	KGP
HG03603	M	BEB	SAS	KGP
HG03604	F	BEB	SAS	KGP
HG03605	F	BEB	SAS	KGP
HG03606	M	BEB	SAS	KGP
HG03607	F	BEB	SAS	KGP
HG03611	F	BEB	SAS	KGP
HG03615	M	BEB	SAS	KGP
HG03616	F	BEB	SAS	KGP
HG03617	F	BEB	SAS	KGP
HG03618	M	PJL	SAS	KGP
HG03619	F	PJL	SAS	KGP
HG03620	F	PJL	SAS	KGP
HG03624	M	PJL	SAS	KGP
HG03625	F	PJL	SAS	KGP
HG03626	F	PJL	SAS	KGP
HG03629	M	PJL	SAS	KGP
HG03631	F	PJL	SAS	KGP
HG03633	M	PJL	SAS	KGP
HG03634	F	PJL	SAS	KGP
HG03635	F	PJL	SAS	KGP
HG03636	M	PJL	SAS	KGP
HG03639	M	PJL	SAS	KGP
HG03640	F	PJL	SAS	KGP
HG03641	M	PJL	SAS	KGP
HG03642	F	STU	SAS	KGP
HG03643	F	STU	SAS	KGP
HG03644	M	STU	SAS	KGP
HG03645	F	STU	SAS	KGP
HG03646	M	STU	SAS	KGP
HG03649	M	PJL	SAS	KGP
HG03650	F	PJL	SAS	KGP
HG03651	M	PJL	SAS	KGP
HG03652	M	PJL	SAS	KGP
HG03653	F	PJL	SAS	KGP
HG03654	M	PJL	SAS	KGP
HG03660	M	PJL	SAS	KGP
HG03663	M	PJL	SAS	KGP
HG03667	M	PJL	SAS	KGP
HG03668	F	PJL	SAS	KGP
HG03669	F	PJL	SAS	KGP
HG03672	M	STU	SAS	KGP
HG03673	F	STU	SAS	KGP
HG03679	M	STU	SAS	KGP
HG03680	M	STU	SAS	KGP
HG03681	M	STU	SAS	KGP
HG03682	M	STU	SAS	KGP
HG03683	F	STU	SAS	KGP
HG03684	F	STU	SAS	KGP
HG03685	M	STU	SAS	KGP
HG03686	M	STU	SAS	KGP
HG03687	M	STU	SAS	KGP
HG03688	M	STU	SAS	KGP
HG03689	F	STU	SAS	KGP
HG03690	F	STU	SAS	KGP
HG03691	M	STU	SAS	KGP
HG03692	F	STU	SAS	KGP
HG03693	M	STU	SAS	KGP
HG03694	M	STU	SAS	KGP
HG03695	M	STU	SAS	KGP
HG03696	M	STU	SAS	KGP
HG03697	M	STU	SAS	KGP
HG03698	F	STU	SAS	KGP
HG03699	M	PJL	SAS	KGP
HG03700	F	PJL	SAS	KGP
HG03701	M	PJL	SAS	KGP
HG03702	M	PJL	SAS	KGP
HG03703	F	PJL	SAS	KGP
HG03704	F	PJL	SAS	KGP
HG03705	M	PJL	SAS	KGP
HG03706	F	PJL	SAS	KGP
HG03707	M	PJL	SAS	KGP
HG03708	M	PJL	SAS	KGP
HG03709	F	PJL	SAS	KGP
HG03710	M	PJL	SAS	KGP
HG03711	M	STU	SAS	KGP
