id	sex	population	region	dataset
NA12763	F	CEU	EUR	KGP
NA12766	M	CEU	EUR	KGP
NA12767	F	CEU	EUR	KGP
NA12775	M	CEU	EUR	KGP
NA12776	F	CEU	EUR	KGP
NA12777	M	CEU	EUR	KGP
NA12778	F	CEU	EUR	KGP
NA12801	M	CEU	EUR	KGP
NA12802	F	CEU	EUR	KGP
NA12812	M	CEU	EUR	KGP
NA12813	F	CEU	EUR	KGP
NA12814	M	CEU	EUR	KGP
NA12815	F	CEU	EUR	KGP
NA12817	M	CEU	EUR	KGP
NA12818	F	CEU	EUR	KGP
NA12827	M	CEU	EUR	KGP
NA12828	F	CEU	EUR	KGP
NA12829	M	CEU	EUR	KGP
NA12830	F	CEU	EUR	KGP
NA12832	F	CEU	EUR	KGP
NA12842	M	CEU	EUR	KGP
NA12843	F	CEU	EUR	KGP
NA12864	M	CEU	EUR	KGP
NA12865	F	CEU	EUR	KGP
NA12872	M	CEU	EUR	KGP
NA12873	F	CEU	EUR	KGP
NA12874	M	CEU	EUR	KGP
NA12875	F	CEU	EUR	KGP
NA12877	M	CEU	EUR	KGP
NA12878	F	CEU	EUR	KGP
NA12889	M	CEU	EUR	KGP
NA12890	F	CEU	EUR	KGP
